1787529600.000000 IP 10.70.0.66.40000 > 10.70.0.53.53: UDP, length 49
1787529600.001000 IP 10.70.0.53.53 > 10.70.0.66.40000: UDP, length 65
1787529660.000000 IP 10.70.0.66.40001 > 10.70.0.53.53: UDP, length 49
1787529660.001000 IP 10.70.0.53.53 > 10.70.0.66.40001: UDP, length 65
1787529720.000000 IP 10.70.0.66.40002 > 10.70.0.53.53: UDP, length 49
1787529720.001000 IP 10.70.0.53.53 > 10.70.0.66.40002: UDP, length 65
1787529780.000000 IP 10.70.0.66.40003 > 10.70.0.53.53: UDP, length 49
1787529780.001000 IP 10.70.0.53.53 > 10.70.0.66.40003: UDP, length 65
1787529840.000000 IP 10.70.0.66.40004 > 10.70.0.53.53: UDP, length 49
1787529840.001000 IP 10.70.0.53.53 > 10.70.0.66.40004: UDP, length 65
1787529900.000000 IP 10.70.0.66.40005 > 10.70.0.53.53: UDP, length 49
1787529900.001000 IP 10.70.0.53.53 > 10.70.0.66.40005: UDP, length 65
1787529960.000000 IP 10.70.0.66.40006 > 10.70.0.53.53: UDP, length 49
1787529960.001000 IP 10.70.0.53.53 > 10.70.0.66.40006: UDP, length 65
1787530020.000000 IP 10.70.0.66.40007 > 10.70.0.53.53: UDP, length 49
1787530020.001000 IP 10.70.0.53.53 > 10.70.0.66.40007: UDP, length 65
1787530080.000000 IP 10.70.0.66.40008 > 10.70.0.53.53: UDP, length 49
1787530080.001000 IP 10.70.0.53.53 > 10.70.0.66.40008: UDP, length 65
1787530140.000000 IP 10.70.0.66.40009 > 10.70.0.53.53: UDP, length 49
1787530140.001000 IP 10.70.0.53.53 > 10.70.0.66.40009: UDP, length 65
1787530200.000000 IP 10.70.0.66.40010 > 10.70.0.53.53: UDP, length 49
1787530200.001000 IP 10.70.0.53.53 > 10.70.0.66.40010: UDP, length 65
1787530260.000000 IP 10.70.0.66.40011 > 10.70.0.53.53: UDP, length 49
1787530260.001000 IP 10.70.0.53.53 > 10.70.0.66.40011: UDP, length 65
1787530320.000000 IP 10.70.0.66.40012 > 10.70.0.53.53: UDP, length 49
1787530320.001000 IP 10.70.0.53.53 > 10.70.0.66.40012: UDP, length 65
1787530380.000000 IP 10.70.0.66.40013 > 10.70.0.53.53: UDP, length 49
1787530380.001000 IP 10.70.0.53.53 > 10.70.0.66.40013: UDP, length 65
1787530440.000000 IP 10.70.0.66.40014 > 10.70.0.53.53: UDP, length 49
1787530440.001000 IP 10.70.0.53.53 > 10.70.0.66.40014: UDP, length 65
1787530500.000000 IP 10.70.0.66.40015 > 10.70.0.53.53: UDP, length 49
1787530500.001000 IP 10.70.0.53.53 > 10.70.0.66.40015: UDP, length 65
1787530560.000000 IP 10.70.0.66.40016 > 10.70.0.53.53: UDP, length 49
1787530560.001000 IP 10.70.0.53.53 > 10.70.0.66.40016: UDP, length 65
1787530620.000000 IP 10.70.0.66.40017 > 10.70.0.53.53: UDP, length 49
1787530620.001000 IP 10.70.0.53.53 > 10.70.0.66.40017: UDP, length 65
1787530680.000000 IP 10.70.0.66.40018 > 10.70.0.53.53: UDP, length 49
1787530680.001000 IP 10.70.0.53.53 > 10.70.0.66.40018: UDP, length 65
1787530740.000000 IP 10.70.0.66.40019 > 10.70.0.53.53: UDP, length 49
1787530740.001000 IP 10.70.0.53.53 > 10.70.0.66.40019: UDP, length 65
1787530800.000000 IP 10.70.0.66.40020 > 10.70.0.53.53: UDP, length 49
1787530800.001000 IP 10.70.0.53.53 > 10.70.0.66.40020: UDP, length 65
1787530860.000000 IP 10.70.0.66.40021 > 10.70.0.53.53: UDP, length 49
1787530860.001000 IP 10.70.0.53.53 > 10.70.0.66.40021: UDP, length 65
1787530920.000000 IP 10.70.0.66.40022 > 10.70.0.53.53: UDP, length 49
1787530920.001000 IP 10.70.0.53.53 > 10.70.0.66.40022: UDP, length 65
1787530980.000000 IP 10.70.0.66.40023 > 10.70.0.53.53: UDP, length 49
1787530980.001000 IP 10.70.0.53.53 > 10.70.0.66.40023: UDP, length 65
1787531040.000000 IP 10.70.0.66.40024 > 10.70.0.53.53: UDP, length 49
1787531040.001000 IP 10.70.0.53.53 > 10.70.0.66.40024: UDP, length 65
1787531100.000000 IP 10.70.0.66.40025 > 10.70.0.53.53: UDP, length 49
1787531100.001000 IP 10.70.0.53.53 > 10.70.0.66.40025: UDP, length 65
1787531160.000000 IP 10.70.0.66.40026 > 10.70.0.53.53: UDP, length 49
