"conn_line"	"phase"	"originator"	"originator_port"	"responder"	"responder_port"	"protocol"	"start_epoch"	"last_epoch"	"start_utc"	"last_packet_utc"	"first_packet"	"last_packet"	"out_payload_bytes"	"in_payload_bytes"	"out_ip_bytes"	"in_ip_bytes"	"out_packets"	"in_packets"
"1"	"dns"	"10.70.0.66"	"40000"	"10.70.0.53"	"53"	"udp"	"1787529600.0"	"1787529600.001"	"2026-08-24T00:00:00+00:00"	"2026-08-24T00:00:00.001000+00:00"	"1"	"2"	"49"	"65"	"77"	"93"	"1"	"1"
"2"	"dns"	"10.70.0.66"	"40001"	"10.70.0.53"	"53"	"udp"	"1787529660.0"	"1787529660.001"	"2026-08-24T00:01:00+00:00"	"2026-08-24T00:01:00.001000+00:00"	"3"	"4"	"49"	"65"	"77"	"93"	"1"	"1"
"3"	"dns"	"10.70.0.66"	"40002"	"10.70.0.53"	"53"	"udp"	"1787529720.0"	"1787529720.001"	"2026-08-24T00:02:00+00:00"	"2026-08-24T00:02:00.001000+00:00"	"5"	"6"	"49"	"65"	"77"	"93"	"1"	"1"
"4"	"dns"	"10.70.0.66"	"40003"	"10.70.0.53"	"53"	"udp"	"1787529780.0"	"1787529780.001"	"2026-08-24T00:03:00+00:00"	"2026-08-24T00:03:00.001000+00:00"	"7"	"8"	"49"	"65"	"77"	"93"	"1"	"1"
"5"	"dns"	"10.70.0.66"	"40004"	"10.70.0.53"	"53"	"udp"	"1787529840.0"	"1787529840.001"	"2026-08-24T00:04:00+00:00"	"2026-08-24T00:04:00.001000+00:00"	"9"	"10"	"49"	"65"	"77"	"93"	"1"	"1"
"6"	"dns"	"10.70.0.66"	"40005"	"10.70.0.53"	"53"	"udp"	"1787529900.0"	"1787529900.001"	"2026-08-24T00:05:00+00:00"	"2026-08-24T00:05:00.001000+00:00"	"11"	"12"	"49"	"65"	"77"	"93"	"1"	"1"
"7"	"dns"	"10.70.0.66"	"40006"	"10.70.0.53"	"53"	"udp"	"1787529960.0"	"1787529960.001"	"2026-08-24T00:06:00+00:00"	"2026-08-24T00:06:00.001000+00:00"	"13"	"14"	"49"	"65"	"77"	"93"	"1"	"1"
"8"	"dns"	"10.70.0.66"	"40007"	"10.70.0.53"	"53"	"udp"	"1787530020.0"	"1787530020.001"	"2026-08-24T00:07:00+00:00"	"2026-08-24T00:07:00.001000+00:00"	"15"	"16"	"49"	"65"	"77"	"93"	"1"	"1"
"9"	"dns"	"10.70.0.66"	"40008"	"10.70.0.53"	"53"	"udp"	"1787530080.0"	"1787530080.001"	"2026-08-24T00:08:00+00:00"	"2026-08-24T00:08:00.001000+00:00"	"17"	"18"	"49"	"65"	"77"	"93"	"1"	"1"
"10"	"dns"	"10.70.0.66"	"40009"	"10.70.0.53"	"53"	"udp"	"1787530140.0"	"1787530140.001"	"2026-08-24T00:09:00+00:00"	"2026-08-24T00:09:00.001000+00:00"	"19"	"20"	"49"	"65"	"77"	"93"	"1"	"1"
"11"	"dns"	"10.70.0.66"	"40010"	"10.70.0.53"	"53"	"udp"	"1787530200.0"	"1787530200.001"	"2026-08-24T00:10:00+00:00"	"2026-08-24T00:10:00.001000+00:00"	"21"	"22"	"49"	"65"	"77"	"93"	"1"	"1"
"12"	"dns"	"10.70.0.66"	"40011"	"10.70.0.53"	"53"	"udp"	"1787530260.0"	"1787530260.001"	"2026-08-24T00:11:00+00:00"	"2026-08-24T00:11:00.001000+00:00"	"23"	"24"	"49"	"65"	"77"	"93"	"1"	"1"
"13"	"dns"	"10.70.0.66"	"40012"	"10.70.0.53"	"53"	"udp"	"1787530320.0"	"1787530320.001"	"2026-08-24T00:12:00+00:00"	"2026-08-24T00:12:00.001000+00:00"	"25"	"26"	"49"	"65"	"77"	"93"	"1"	"1"
"14"	"dns"	"10.70.0.66"	"40013"	"10.70.0.53"	"53"	"udp"	"1787530380.0"	"1787530380.001"	"2026-08-24T00:13:00+00:00"	"2026-08-24T00:13:00.001000+00:00"	"27"	"28"	"49"	"65"	"77"	"93"	"1"	"1"
"15"	"dns"	"10.70.0.66"	"40014"	"10.70.0.53"	"53"	"udp"	"1787530440.0"	"1787530440.001"	"2026-08-24T00:14:00+00:00"	"2026-08-24T00:14:00.001000+00:00"	"29"	"30"	"49"	"65"	"77"	"93"	"1"	"1"
"16"	"dns"	"10.70.0.66"	"40015"	"10.70.0.53"	"53"	"udp"	"1787530500.0"	"1787530500.001"	"2026-08-24T00:15:00+00:00"	"2026-08-24T00:15:00.001000+00:00"	"31"	"32"	"49"	"65"	"77"	"93"	"1"	"1"
"17"	"dns"	"10.70.0.66"	"40016"	"10.70.0.53"	"53"	"udp"	"1787530560.0"	"1787530560.001"	"2026-08-24T00:16:00+00:00"	"2026-08-24T00:16:00.001000+00:00"	"33"	"34"	"49"	"65"	"77"	"93"	"1"	"1"
"18"	"dns"	"10.70.0.66"	"40017"	"10.70.0.53"	"53"	"udp"	"1787530620.0"	"1787530620.001"	"2026-08-24T00:17:00+00:00"	"2026-08-24T00:17:00.001000+00:00"	"35"	"36"	"49"	"65"	"77"	"93"	"1"	"1"
"19"	"dns"	"10.70.0.66"	"40018"	"10.70.0.53"	"53"	"udp"	"1787530680.0"	"1787530680.001"	"2026-08-24T00:18:00+00:00"	"2026-08-24T00:18:00.001000+00:00"	"37"	"38"	"49"	"65"	"77"	"93"	"1"	"1"
"20"	"dns"	"10.70.0.66"	"40019"	"10.70.0.53"	"53"	"udp"	"1787530740.0"	"1787530740.001"	"2026-08-24T00:19:00+00:00"	"2026-08-24T00:19:00.001000+00:00"	"39"	"40"	"49"	"65"	"77"	"93"	"1"	"1"
"21"	"dns"	"10.70.0.66"	"40020"	"10.70.0.53"	"53"	"udp"	"1787530800.0"	"1787530800.001"	"2026-08-24T00:20:00+00:00"	"2026-08-24T00:20:00.001000+00:00"	"41"	"42"	"49"	"65"	"77"	"93"	"1"	"1"
"22"	"dns"	"10.70.0.66"	"40021"	"10.70.0.53"	"53"	"udp"	"1787530860.0"	"1787530860.001"	"2026-08-24T00:21:00+00:00"	"2026-08-24T00:21:00.001000+00:00"	"43"	"44"	"49"	"65"	"77"	"93"	"1"	"1"
"23"	"dns"	"10.70.0.66"	"40022"	"10.70.0.53"	"53"	"udp"	"1787530920.0"	"1787530920.001"	"2026-08-24T00:22:00+00:00"	"2026-08-24T00:22:00.001000+00:00"	"45"	"46"	"49"	"65"	"77"	"93"	"1"	"1"
"24"	"dns"	"10.70.0.66"	"40023"	"10.70.0.53"	"53"	"udp"	"1787530980.0"	"1787530980.001"	"2026-08-24T00:23:00+00:00"	"2026-08-24T00:23:00.001000+00:00"	"47"	"48"	"49"	"65"	"77"	"93"	"1"	"1"
"25"	"dns"	"10.70.0.66"	"40024"	"10.70.0.53"	"53"	"udp"	"1787531040.0"	"1787531040.001"	"2026-08-24T00:24:00+00:00"	"2026-08-24T00:24:00.001000+00:00"	"49"	"50"	"49"	"65"	"77"	"93"	"1"	"1"
"26"	"dns"	"10.70.0.66"	"40025"	"10.70.0.53"	"53"	"udp"	"1787531100.0"	"1787531100.001"	"2026-08-24T00:25:00+00:00"	"2026-08-24T00:25:00.001000+00:00"	"51"	"52"	"49"	"65"	"77"	"93"	"1"	"1"
"27"	"dns"	"10.70.0.66"	"40026"	"10.70.0.53"	"53"	"udp"	"1787531160.0"	"1787531160.001"	"2026-08-24T00:26:00+00:00"	"2026-08-24T00:26:00.001000+00:00"	"53"	"54"	"49"	"65"	"77"	"93"	"1"	"1"
"28"	"dns"	"10.70.0.66"	"40027"	"10.70.0.53"	"53"	"udp"	"1787531220.0"	"1787531220.001"	"2026-08-24T00:27:00+00:00"	"2026-08-24T00:27:00.001000+00:00"	"55"	"56"	"49"	"65"	"77"	"93"	"1"	"1"
"29"	"dns"	"10.70.0.66"	"40028"	"10.70.0.53"	"53"	"udp"	"1787531280.0"	"1787531280.001"	"2026-08-24T00:28:00+00:00"	"2026-08-24T00:28:00.001000+00:00"	"57"	"58"	"49"	"65"	"77"	"93"	"1"	"1"
"30"	"dns"	"10.70.0.66"	"40029"	"10.70.0.53"	"53"	"udp"	"1787531340.0"	"1787531340.001"	"2026-08-24T00:29:00+00:00"	"2026-08-24T00:29:00.001000+00:00"	"59"	"60"	"49"	"65"	"77"	"93"	"1"	"1"
"31"	"dns"	"10.70.0.66"	"40030"	"10.70.0.53"	"53"	"udp"	"1787531400.0"	"1787531400.001"	"2026-08-24T00:30:00+00:00"	"2026-08-24T00:30:00.001000+00:00"	"61"	"62"	"49"	"65"	"77"	"93"	"1"	"1"
"32"	"dns"	"10.70.0.66"	"40031"	"10.70.0.53"	"53"	"udp"	"1787531460.0"	"1787531460.001"	"2026-08-24T00:31:00+00:00"	"2026-08-24T00:31:00.001000+00:00"	"63"	"64"	"49"	"65"	"77"	"93"	"1"	"1"
"33"	"dns"	"10.70.0.66"	"40032"	"10.70.0.53"	"53"	"udp"	"1787531520.0"	"1787531520.001"	"2026-08-24T00:32:00+00:00"	"2026-08-24T00:32:00.001000+00:00"	"65"	"66"	"49"	"65"	"77"	"93"	"1"	"1"
"34"	"dns"	"10.70.0.66"	"40033"	"10.70.0.53"	"53"	"udp"	"1787531580.0"	"1787531580.001"	"2026-08-24T00:33:00+00:00"	"2026-08-24T00:33:00.001000+00:00"	"67"	"68"	"49"	"65"	"77"	"93"	"1"	"1"
"35"	"dns"	"10.70.0.66"	"40034"	"10.70.0.53"	"53"	"udp"	"1787531640.0"	"1787531640.001"	"2026-08-24T00:34:00+00:00"	"2026-08-24T00:34:00.001000+00:00"	"69"	"70"	"49"	"65"	"77"	"93"	"1"	"1"
